Year,Price (24 karat per 10 grams),status
2022,52950,0
2021,50045,1
2020,48651,1
2019,35220,1
2018,31438,1
2017,29667,1
2016,28623,1
2015,26343,0
2014,28006,0
2013,29600,0
2012,31050,1
2011,26400,0
2010,18500,1
2009,14500,0
2008,12500,1
2007,10800,0
2006,8400,0
2005,7000,0
2004,5850,0
2003,5600,0
2002,4990,1
2001,4300,1
2000,4400,1
1999,4234,1
1998,4045,1
1997,4725,0
1996,5160,0
1995,4680,0
1994,4598,0
1993,4140,1
1992,4334,1
1991,3466,1
1990,3200,0
1989,3140,1
1988,3130,1
1987,2570,1
1986,2140,1
1985,2130,0
1984,1970,1
1983,1800,0
1982,1645,1
1981,1800,1
1980,1300,1
1979,937,0
1978,685,1
1977,486,1
1976,432,1
1975,540,0
1974,506,0
1973,279,0
1972,202,0
1971,193,1
1970,184,1
1969,176,1
1968,162,1
1967,103,1
1966,84,1
1965,72,1
